Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
rastrigin_modified,100,50,0.2,16.981359587479062,198.83155960045156,10.967492330554341,0.026006698608398438
rastrigin_modified,100,50,0.5,15.44371270118915,218.71741711152492,27.222562015735576,0.021004676818847656
rastrigin_modified,100,50,1.0,15.058236440012106,218.08356014755202,21.231021038053708,0.02100539207458496
rastrigin_modified,100,50,1.5,16.748739850698243,217.2993431668712,28.151541935351833,0.022005319595336914
rastrigin_modified,100,50,2.0,4.622218508612656,210.67039866713196,23.770805401805575,0.02701425552368164
rastrigin_modified,100,100,0.1,16.01711533357035,185.19408055038878,17.178044006475158,0.052002906799316406
rastrigin_modified,100,100,0.2,8.56117643982585,220.73821071979842,24.327871365554536,0.038008689880371094
rastrigin_modified,100,100,0.5,11.429224511621275,212.6484180174363,20.34723601437303,0.04601025581359863
rastrigin_modified,100,100,1.0,12.140687060926723,220.66270546602675,35.67299965573798,0.04300975799560547
rastrigin_modified,100,100,1.5,2.0565179809040366,221.12322116251806,19.849329627117825,0.04100918769836426
rastrigin_modified,100,100,2.0,6.714164899411346,219.2540854130134,24.87370535269096,0.04100966453552246
booth,5,5,0.1,11.306516726362744,1216.5212876227727,5.446415954497637,0.0020008087158203125
booth,5,5,0.2,7.157249904960233,1061.0866407304989,10.655895537902493,0.0019996166229248047
booth,5,5,0.5,100.38275852600032,958.1001446692928,1.8344224135857075,0.0010001659393310547
booth,5,5,1.0,35.78671476138983,2013.4249451951391,2.2737367544323206e-13,0.0020003318786621094
booth,5,5,1.5,62.59405749931104,762.0724587615264,6.115815571646702,0.0010004043579101562
booth,5,5,2.0,11.407585954087132,1013.0103947868972,112.72035512804528,0.002000093460083008
booth,5,10,0.1,21.629128997658842,1677.063400113187,79.20357070562453,0.0020008087158203125
booth,5,10,0.2,3.306231077377954,1995.3321402794495,178.4015113386435,0.003000497817993164
booth,5,10,0.5,81.4370638330052,1710.104470356038,394.4761422735754,0.0020003318786621094
booth,5,10,1.0,2.863707131522722,1334.6685362354424,183.0485272886782,0.0020003318786621094
booth,5,10,1.5,29.421914861098898,1751.3875857065887,109.97310564174289,0.0030012130737304688
booth,5,10,2.0,12.106585762981707,1698.9021493194614,508.5840003624505,0.0020012855529785156
booth,5,20,0.1,3.2911804779762734,1929.6827794950427,538.4116595353439,0.003000497817993164
booth,5,20,0.2,19.2463906212977,2436.030041518798,483.5278190503188,0.003000974655151367
booth,5,20,0.5,3.653544498044388,2028.5155609633603,521.2348677966819,0.0029997825622558594
booth,5,20,1.0,22.661429530138808,1951.8594255736966,575.9361479779111,0.0030012130737304688
booth,5,20,1.5,8.939910115065828,2428.75686676192,359.17890205703054,0.003000497817993164
booth,5,20,2.0,15.144424388136281,2457.4940608199263,327.10841113740184,0.003000497817993164
booth,5,50,0.1,0.2472569159277541,2237.5677310691162,628.1636396451291,0.007001399993896484
booth,5,50,0.2,15.134543363946813,2193.7491215326713,488.4494314516954,0.006001710891723633
booth,5,50,0.5,0.48034087616610055,2484.4664436199937,503.61160677856554,0.006001710891723633
booth,5,50,1.0,7.598770526235134,2531.0501167606844,517.4935422302085,0.0050013065338134766
booth,5,50,1.5,3.907337798381524,2594.0,547.1081373207521,0.0050013065338134766
booth,5,50,2.0,6.336856751851348,2064.3768074320565,579.9891656275438,0.006001472473144531
booth,5,100,0.1,3.5165675785896644,2332.8001634878947,522.5112702285564,0.010010957717895508
booth,5,100,0.2,1.7576296966053817,2227.5316289411494,539.645133978151,0.0099945068359375
booth,5,100,0.5,15.164163751294684,2425.7759059039445,413.3948097082702,0.0110015869140625
booth,5,100,1.0,4.979568185840731,2584.787747118984,616.6162910840742,0.012002706527709961
booth,5,100,1.5,2.1622512953227684,2529.1761829007423,512.6286212669462,0.011002063751220703
booth,5,100,2.0,1.65497730361651,2413.9511175814023,547.2150774293237,0.011002779006958008
booth,10,5,0.1,1.7586424777059815,1316.2109413366315,4.784935500720776,0.0030024051666259766
booth,10,5,0.2,30.287648614731346,503.4893857669084,7.967244818339966,0.0030078887939453125
booth,10,5,0.5,1.8845705199828462,149.9725294346607,0.0,0.002000570297241211
booth,10,5,1.0,117.25400537780129,2536.414286438049,70.32059070935047,0.0030007362365722656
booth,10,5,1.5,151.93922430936504,2518.628578861225,51.622022659948854,0.0029914379119873047
booth,10,5,2.0,11.084591430129546,730.0710089571745,81.57903218071496,0.0020096302032470703
booth,10,10,0.1,117.5507483239073,2426.4294940902037,12.824303721175049,0.003991603851318359
booth,10,10,0.2,5.989859019636569,659.9229376034123,2.3875017033770547,0.00400996208190918
booth,10,10,0.5,3.506081078406812,1573.3515126314564,141.7639335220923,0.00400090217590332
booth,10,10,1.0,60.12005679336362,1630.8545156615287,118.1497144366107,0.003991842269897461
booth,10,10,1.5,0.07037179670012457,1317.3615841728583,141.19354670109507,0.00400090217590332
booth,10,10,2.0,210.12034943701133,2581.512970554756,142.28760033355795,0.0030002593994140625
booth,10,20,0.1,8.850433232799748,1971.4213504773115,7.985377783587927,0.005002021789550781
booth,10,20,0.2,10.689305331491353,1855.620538102152,88.57260886526451,0.0050013065338134766
booth,10,20,0.5,0.18499538871641116,2197.081006188313,207.41770873710826,0.005001068115234375
booth,10,20,1.0,9.151191121720483,2026.2671164501803,189.00784644761725,0.0050008296966552734
booth,10,20,1.5,11.19077262411405,2107.1349425149847,122.84119446607461,0.006010532379150391
booth,10,20,2.0,22.432453682869383,2096.136642140669,155.6565462342219,0.005001068115234375
booth,10,50,0.1,5.8852829982220705,2515.520554889131,198.92482159129924,0.011002540588378906
booth,10,50,0.2,21.197178822746874,2371.326603371905,404.15315040672704,0.010994434356689453
booth,10,50,0.5,15.196641375050831,2032.766074298042,180.00813339047704,0.01000213623046875
booth,10,50,1.0,3.3880151942487755,2310.7494370431027,267.80949976300104,0.0110015869140625
booth,10,50,1.5,5.642338191132351,2594.0,384.382593015395,0.010003089904785156
booth,10,50,2.0,3.5258201451420623,2587.9989189658454,348.0450450222509,0.011002779006958008
booth,10,100,0.1,0.2933377195990352,2237.137392844477,299.2030264303728,0.020013093948364258
booth,10,100,0.2,1.6618163132273833,2273.9235557723205,331.70135713593555,0.019003868103027344
booth,10,100,0.5,5.972318658626789,2382.446613576729,345.74327842705856,0.019995927810668945
booth,10,100,1.0,0.12088097410748974,2594.0,347.46152718192036,0.019004344940185547
booth,10,100,1.5,1.6123038127752691,2559.1315341964655,341.4744375331994,0.01900506019592285
booth,10,100,2.0,2.1158015229831624,2594.0,363.6077837538921,0.020012378692626953
booth,20,5,0.1,0.9822186921422438,1118.9226867222947,5.030748868550579,0.0030007362365722656
booth,20,5,0.2,126.95829200102295,2113.481578013793,9.345536653376122,0.005001068115234375
booth,20,5,0.5,49.38730958900975,260.0083381400744,14.80525745639091,0.004001140594482422
booth,20,5,1.0,117.19234339479327,1645.5204180364703,0.0,0.003993034362792969
booth,20,5,1.5,75.15796226408331,669.9483781497406,52.599972309178426,0.00400853157043457
booth,20,5,2.0,24.463906825412636,922.9820490457998,78.91768369544263,0.003991842269897461
booth,20,10,0.1,10.085663559308564,1710.7504283650605,15.21771286917388,0.006010532379150391
booth,20,10,0.2,28.756055875131352,1820.0751605764785,16.048527237119362,0.0049936771392822266
booth,20,10,0.5,32.53504832245752,1324.2010912235335,24.91869497296592,0.006000041961669922
booth,20,10,1.0,37.12269495255735,853.207316087086,33.49581268313756,0.006010293960571289
booth,20,10,1.5,20.51473775752792,1125.0401757481618,72.29615221673829,0.00599217414855957
booth,20,10,2.0,19.12912332393147,2038.0182259860653,115.9071261455804,0.006000995635986328
booth,20,20,0.1,68.00244243755088,1957.1260596395355,236.8295747399164,0.009011268615722656
booth,20,20,0.2,6.98991059011923,1595.8101748110669,158.25405443864938,0.010002374649047852
booth,20,20,0.5,14.658598359636404,1854.747788206086,294.0804891034439,0.00800180435180664
booth,20,20,1.0,22.708019508158806,1549.8199676043037,63.258508772925275,0.008994579315185547
booth,20,20,1.5,5.70211300094796,2533.097263992009,212.17818608493909,0.00900125503540039
booth,20,20,2.0,6.829643208929035,2418.9358484912163,306.12278274599606,0.00901031494140625
booth,20,50,0.1,0.9867658853282328,2498.4361892312563,38.09925842227653,0.017995119094848633
booth,20,50,0.2,1.0759927961538625,2456.5440753424004,128.8915667833743,0.019004344940185547
booth,20,50,0.5,7.529797256146239,2144.8543214447463,272.6603644864397,0.019004106521606445
booth,20,50,1.0,1.5877849783533216,2259.8413065965506,212.5112385507667,0.017003297805786133
booth,20,50,1.5,1.3719081215369577,2334.3894699252646,264.3627773697507,0.017004966735839844
booth,20,50,2.0,2.7416777034380875,2594.0,280.74490650185874,0.019004106521606445
booth,20,100,0.1,8.965315871609436,2460.8187390374933,155.92986098482035,0.038008928298950195
booth,20,100,0.2,1.0096223400394324,2530.0426708333284,254.47312427855732,0.05301475524902344
booth,20,100,0.5,1.566960656989024,2594.0,433.5486849825629,0.060010671615600586
booth,20,100,1.0,0.10391246188460802,2501.590022366235,251.6358216688892,0.05001091957092285
